Statement,Keywords
:dizzy::sunflower::herb: You might not see it but am gonna fucking do it :,
smiling_face_with_sunglasses: -...#founditonamazon #amazonfashion #amazondotin,
#amazoninfluencer .Follow : @abdul_zubarti :camera:Follow : @abdul_zubarti .:camera:.Dont forget,
to:.>Double tap if you like and .Comment your thoughts :thought_balloon: .>Share with your friends :,
Virgo:.>Follow me @abdul_zubarti :red_heart:.For more amazing post!:white_heavy_check_mark::,amazondotin amazonfashion amazoninfluencer bekindnessgod explorepageready
rainbow:. .......#trendingfashion #fashionphotoshoot #explorepageready #indianinfluencer,fashionmodelling fashionphotoshoot founditonamazon iblradiance indianinfluencer
#fashionmodelling #bekindnessgod #iblradiance #lifehotoaisihi,lifehotoaisihi trendingfashion
Yes You heard it right... You can have parathas and sandwiches....:green_heart:You should skip fried,
foods though.You body digestion power is strongest during this time...#awifesperspective,awifesperspective
Those were the days.... No Corona No masks.... Add a tone of your favourite color dress and lots of,
fun.....#awifesperspective,awifesperspective
Agree??It happens to me every week... What about you ??..#awifesperspective#photooftheday #call,
#funny #style #flowers #design #yellow #red #hearts #happy #beauty #textpost #beautiful #makeup,
#brokenheart #picoftheday #flower #pretty #black #handmade #hair #pink #funnytext #photography,awifesperspective
:white_medium_star::upside-down_face::white_medium_star::dizzy::love_letter:Tips On How To Take,
Care Of Kids During Season ChangeKeeping your babies safe during the season change is very,
important as thats when they tend to get virals. Season change is my biggest nightmare always,
however this time I am over cautious because of this Pandemic situation. This time my safeguard is,
more as prevention is always better than cure.These are some tips :-1. Keep your child hydrated as it,
helps in regulating the body temperature. So water or soup is best suggested and not juices. And yes,
for infants below 6 months mothers milk is enough so dont give water to them.2. Intake of Vitamin C,
and fibre is very important as it helps build immune system as it acts as a booster in our bodies. And,
"fibre helps in proper functioning of galt. Some vitamin C enriched fruits are lemon, orange, pineapple,",bowtieandlipsticks covid19 gocoronago healthtipsoftheday healthybaby
"papaya, kiwi.You can also squeeze lemon in their meal when they are having dal rice. High fibre food",healthybabyfoodideas healthylifestlye immunitybooster momlife mumbaimoms pandemic
is lentil,precautions preventivemeasures preventivemedicine toddlerlife vitaminc
WANT MORE FOLLOWERS while being home around this time?This is social distancing.Come join,
our community of women who empower other women.:downwards_button:JOIN US IN OUR,
FOLLOW TRAIN NOW!Its quick & easy. Heres how;:keycap_1:Likes this picture..:keycap_2:And head,
over to @ladiesloop follow the page & must follow the instructions under the EXTREME FOLLOW,
LOOP post to start gaining followers......#mamasmegaloopteam0909#socialdistancing #momlife,fitmama hotmessmama instamama ladiesloop0909 letssavetheworld mamablog
#mamablog #washyourhands #mamagirl #mamalife #motherhood #hotmessmama #fitmama,mamablogger mamagirl mamalife mamasmegaloopteam0909 momlife motherdaughter
#instamama #mamablogger #letssavetheworld #singlemother #motherslove #motherdaughter,motherhood motherslove shelterinplace singlemother socialdistancing stayathome
#shelterinplace #stayathome #stayhome #ladiesloop0909,stayhome washyourhands
:double_curly_loop::smiling_face_with_halo: :yellow_heart::four_leaf_clover::dizzy::sparkles:Being a,
"bong I am big time rice lover. With @indiakhaas the recipe of rice turns out to be perfect, I tried out",
veg biryani and it was as per my expectations. The reason @indiakhaas is my choice for rice because,
it posses nuitrients which are important to us.Here are some benefits of XL Basmati Rice - Aged Rice,
#NAME?,
@amazondotin#khaasbasmatirice #indiakhaas #khasrice #khaasrice #basmatirice #basmatiricerecipe,
#indiakhas,basmatirice basmatiricerecipe indiakhaas indiakhas khaasbasmatirice khaasrice khasrice
:pencil:Kal Ho Na Ho :rainbow:...,artiztfeelsep9:rainbow: backpacking bangalorediaries bangalorestreets banglaorevibes
#wanderlust#backpacking#traveller#imisstravelling#bangalorediaries#banglaorevibes#mood#indiangir,exploreindia imisstravelling indianfashionblogger indianfashioninfluencer indiangirltraveller
ltravels#indiangirltraveller#travellingthroughtheworld#exploreindia#indiantraveller#indiantravelblogger,indiangirltravels indianinfluencer indiantravelblogger indiantravelinfluencer indiantraveller
#indiantravelinfluencer#mood#indianfashioninfluencer#indianfashionblogger#oldmemories#kalhonaho,kalhonaho l1k3sby0rgan1c mood mumbaiblogger oldmemories traveller
#indianinfluencer#mumbaiblogger#bangalorestreets#l1k3sby0rgan1c#artiztfeelsep9:rainbow:,travellingthroughtheworld wanderlust
Good food :drooling_face: is all that sweet when shared with friends and family. Happiness is,
homemade. Cooking with love provides food for the soul. At home I serve the kind of food I know the,
story behind..........Stay connected @commitedbirds......#foodie #foodforfoodies #foodielove,familyfood familyfoodie foodforfoodies foodie foodielove foodphotography foodporn
#healthyfood #foodporn #foodphotography #homlyfood #homelyfood #jaipurfoodies,healthyfood homelyfood homlyfood jaipurfoodblogger jaipurfoodie jaipurfoodies
#jaipurfoodblogger #jaipurfoodie #rajasthanifood #familyfood #familyfoodie,rajasthanifood
"Yesterday marks 3 years of my blogging officially , when I decided to change my Instagram handle to",
Diapers & Lipsticks .I remember the night before I wanted to officially announce - I did a lot of thinking,
"of what should the name be. I knew I wanted to write about parenting , my motherhood experiences &",
journey but it was definitely more than that. It was also going to be about me.. about balancing &,
finding myself & my motherhood. .I always had big dreams that I would often make presentations in,
office when I would find time.. Im very grateful for where Ive reached but I have a long long way to,
go.. But.. Im in no rush. I also want to live in the moment.. I also want to make the most out of today,
and slowly work towards my dreams :sparkles:..A #MondayMotivation thought - Never let anyone tell,
you that your dreams are too big.. Anyone.. :fire:..P.S. Really excited about my recent shoot & Rudis,
birthday week ! :star-struck: .#Diapers&Lipsticks :lipstick:.P.C. - @david_freelancer MUA -,diapers&lipsticks mondaymotivation
"Mumma ko bohot baar kehna chaha par keh nahi paayi, but watching #IndiawaaliMaa on",
@sonytvofficial I couldnt stop myself from saying #ThankYouMaa. This show truly encompasses the,
emotions of all our #IndiawaaliMaas! Tune in every Mon to Fri at 8:30 PM and enjoy your evenings,
with your Moms!@sonytvofficial,indiawaalimaa indiawaalimaas! thankyoumaa
A beautiful memory to cherish on #AADITVA first birthday. I tried to peck on her chubby cheeks and,
he smiled. His cute chubby cheeks felt like cottony softI wanted to freeze that moment.It was,
priceless. It was such a precious moment.It was our special moment Where we felt eternal bond. A,
pure bond between parents & child.Share your#softestTouchmoment .I further Tag -,
@mummaslilangel @mitzitup @nimsstylefile @justmommying @banchikabhawnani To share,
their#softesttouchmoment#softesttouch#johnsoncottontouch#choosegentle@johnsonsbabyindia@goti,aaditva choosegentle@johnsonsbabyindia@gotinyste johnsoncottontouch softesttouch
nystep,softesttouchmoment
This is the first time i tried middle parting of my hair otherwise its always side parting. What do you,
guys think it suits me or not?Grow and Glow :glowing_star:Mua- @stylush_unisexsalon #himaniarora,
#lamprobites #blogger #makeup #mua #beauty #influencer #enthusiast #entrepreneur #stylist #diva,beauty blogger blush browneyes diva enthusiast entrepreneur himaniarora influencer
#browneyes #blush #shine #potd #styleinspiration,lamprobites makeup mua potd shine styleinspiration stylist
You are rare and you deserve to be treated like one :dove:Od- @maxfashionindia Accessories-,
@accessorizeindiaofficial Pc- @mainaurmeracamera Edit- @rishabhh.raw Mua- @nottthatbasic,
#himaniarora #lamprobites #blogger #indianblogger #stylist #influencer,blogger himaniarora indianblogger influencer lamprobites stylist
:rainbow::double_curly_loop:Okay now who doesnt have acne ?! Or who has the clearest skin here ?!,
"Thats not me at all, I have crazy acne which I have been dealing with from teenage and also acne",
scars & pigment are quite deep on my cheeks ! I have always shied away from being bare skin,
because of these skin problems. I recently got hold of the much hyped @thedermacoindia AHA BHA,
products. The AHA BHA foaming cleanser is made with glycolic & salicylic acid which help in,
shedding dead skin cells and helps cell turnover. FRUIT AHA skin Revitalizer is made from fruit,
extracts and helps in freeing the skin from blemishes and scars I received these products on the 23,
of august and I have been using it since then and I see a considerable amount of difference in my,acne acnecommunity acnefree acnepositivity acneproblems acneproneskin acnescars
skin. Hoping one day my skin can be shown without a filter or make up ! ........#nofilter #dermaco,august0908tagg bemoreactivee changestolike clashdiljitclash dermaco healdontceal
#healdontceal #acne#bemoreactivee #august0908tagg #lyvdylfy12#clashdiljitclash# #acnescars,lyvdylfy12 maarjacoronaplease ninttysept nofilter oilyskin pigmentation septemberdiariezz
#pigmentation #acnepositivity #acne #acne,shinenrisehigh skincare skincaredaily skincareroutines skinlove skintips
:radio_button:You kaftans are difficult to wear not at all ! Check out this fun video I created and let me,
know which one of the 3 looks you love ! 1.Casual Look 2.Beach Babe 3.Magzine Editorial Look !,
Wearing Tropical print kaftan from @omgeefashionstudio .......#kaftan #kaftandress #howtowear,
#kaftanpremium #kaftanexclusive #kaftanstyling #stylinginspiration #fashionvideo #desiinfluencer,8actprotue aajmangalwarhaii bangalorefashionblogger beaching beachphotoshoot
#bohobraids #boholiving #boholifestyle #boholook #stylinginspo #fashionwear #bohodress,beachshoot besafeinsep bohobraids bohodress boholifestyle boholiving boholook
#boholovers #bangalorefashionblogger #beachshoot #beaching #beachphotoshoot #styling,boholovers delhifashionblogger desiinfluencer fashionvideo fashionwear goodngenuine
#mumbaifashionblogger #delhifashionblogger #ipreview via @preview.app#8actprotue,howtowear ipreview kaftan kaftandress kaftanexclusive kaftanpremium kaftanstyling
#goodngenuine#besafeinsep#aajmangalwarhaii#seventysept,mumbaifashionblogger seventysept styling stylinginspiration stylinginspo
":wavy_dash:We all are working from like since forever, who can say no to snacking + penny is super",
"excited with all of it ! Obviously all of these munchies are all baked, say whaaaat ?! Yaaaas they are",
form @oishiindia ! Love the bundle of joy and have been munching ever since nonstop ! My Mondays,
are better now with so many snacks ! .Also swipe :right_arrow: to check out how I have edited this,alwayseating appleztmzzz bakedwithlove bangaloreblogger bangalorefoodies
picture ! .........#snacks #munchies #love #healthysnacking #snacking #bakedwithlove #chips,bangaloreinfluencer bengaluru bengalurufoodie bengaluru_diaries chips dogsofbark
#onlinedelivery #bangalorefoodies #alwayseating #oishiindia #nammabengaluru #bengaluru,forevershinelikediamond funwithdogs healthysnacking humdwthrsep* indianfoodblogger
#bengalurufoodie #bengaluru_diaries #dogsofbark #bangaloreinfluencer #bangaloreblogger,ipreview likessiixty love monagainactpro mumbaiblogger munchies nammabengaluru
#indianfoodblogger #funwithdogs #mumbaiblogger #appleztmzzz #ipreview via @preview.app,oishiindia onlinedelivery prayerandbliss snacking snacks ufsf12
Just wow. Dglitz Events-Thank you so much for featuring me in your September Issue!,
@vikaskhannagroup is also on the cover! You can get a FREE copy to read as well. :red_heart: Use,
this link to get it. https://www.dglitzevents.com/#featured #feature #magazineshoot #digitalmagazine,
#septembermagazine #featureme #magazinearticle #article #articles #magazinefeature,article articles digitalmagazine feature featured featureme magazinearticle
#magazinefeatures,magazinefeature magazinefeatures magazineshoot septembermagazine
"I was told by a doctor Im low on vitamin B, so Im using these supplements from @zenithnutrition. :",
red_heart: This should get my levels back up really soon! #healthylifesyle #healthyips,
#indiahealthcare #healthyproducts #healthcareindia #zenithnutrition #beautyindia #beautyproduct,beautyindia beautyproduct beautyproducts healthcareindia healthtips healthyips
#beautyproducts #beautyindia #healthtips #stayhealthyandfit,healthylifesyle healthyproducts indiahealthcare stayhealthyandfit zenithnutrition
Still photos of products from my video yesterday! :red_heart: The products are:Chocolite,
ScrubEthiglow Face Wash360 Degree SubscreenHyalugel#beautyproducts #skincareproducts,
#indiaskincare #indianskincare #facecare #dailyskin #dailyskincare #dailybeauty #dailybeautytips,beautycareproducts beautydaily beautyproducts dailybeauty dailybeautytips dailyskin
#beautydaily #beautycareproducts,dailyskincare facecare indianskincare indiaskincare skincareproducts
Smoothies & Coladas for your skin? YAS! All-new gel lotions & crme lotions have just been launched,
"by the 100% cruelty-free and vegan brand, Plum BodyLovin! Theyre silicone-free, light-weight and",
"super hydratin. Best part? Theyre not greasy, AT ALL! Theyve launched 4 variants out of which I have",
"2: - :right_arrow:Plum BodyLovin Tropical Tango Colada (Gel Lotion) - Melony, light-weight hydration -",
Plum :right_arrow:BodyLovin Drivin Me Cherry Smoothie (Crme Lotion) - Cherries in a lotion? Hell,
yeah! My personal favourite is Tropical Tango Colada:red_heart:The gel lotion is perfect for all skin,
"types and the crme lotion is especially fab for dry to super dry skin types! Also, they smell YUM! Shop",aplumpartnership bath&body bodycare bodylotion bodypositivity indianblogger
these beauties today www.plumgoodness.com #APlumPartnership #Vocalforlocal #Newlaunch,indianinfluencer indianlifestyleblogger judgementfree loveeveryinch mumbaiblogger
#PlumBodyLovin #JudgementFree #LoveEveryInch #BodyLotion #BodyPositivity #Bath&Body,mumbaiinfluencer mumbailifestyleblogger mumbaiskincareblogger myfavoritethings
#BodyCare #PlumGoodness #opareviews,newlaunch opagirl opareviews plumbodylovin plumgoodness skincarebloggerindia
#opagirl#indianinfluencer#mumbaiinfluencer#indianblogger#mumbaiblogger#indianlifestyleblogg,socialmediainfluencer vocalforlocal
Beach mode = ON :desert_island: :smiling_face_with_sunglasses:If we got a dollar for every time,
"someone body shamed us, we would all be billionaires!:sparkles:And @plumbodylovin is set out to",
"negate all of this body shaming, with loads of love, sass, and body positivity!With their 100% vegan",
"and #JudgementFree line of fun bath & body products, it aims to make you love every inch of your",
"fab-bod!:red_heart:This Indian brand, has launched 5 shower gels, 4 body lotions and 3 body mists so",
far and I have 2 out of those 12 products with me today. 1. Hawaiian Rumba Shower Gel2. Hawaiian,
Rumba body mistShop your picks of this Indian brand at www.plumgoodness.com@plumbodylovin,
@plumgoodness :two_hearts:Use my referral code WY62EQ or my referral link and get 10% off for,bathandbody beach bodycare bodylovinsquad bodymist crueltyfree getbubblin getspritzin
you first order! Tap on the link in my bio :winking_face:......#vocalforlocal #hugyourfabbod,goodvibes hawaiianrumba hugyourfabbod hyderabad hyderabadfashionblogger
#loveeveryinch #judgementfree #bodylovinsquad #PlumBodyLovin #plumgoodness #beach #love,ilovemybody judgementfree love loveeveryinch nastiesfree phthalatefree plumbodylovin
#hyderabad #sulphatefree #bodycare #goodvibes #,plumgoodness showergel sulphatefree toxinfree toxinfreeskincare vocalforlocal
Are you a beach bae? :spiral_shell: Beach at home @ Rs. 699 ONLY? YAS PLEASE! :,
smiling_face_with_sunglasses:@plumgoodness @plumbodylovin :two_hearts:You can now,
experience bubblin & spritzin on the beaches of Hawaii right at home with plum Hawaiian Rumba,
shower gel & body mist! :palm_tree:Get a shower gel + a body mist for Rs. 699 ONLY! :,
smiling_face_with_heart-eyes:You also get a FREE Oh-So-Natural Loofah! Hurry up now!!!!Use my,bathandbody beach bodycare bodylovinsquad bodymist crueltyfree getbubblin getspritzin
referral code WY62EQ or my referral link and get 10% off for you first order! Tap on the link in my bio :,goodlife goodvibes hawaii hawaiianrumba hyderabad hyderabadfashionblogger
"winking_face:So, are you bringin the beach home today?:two_hearts:..#loveeveryinch #judgementfree",ilovemybody judgementfree love loveeveryinch nastiesfree phthalatefree plumbodylovin
#bodylovinsquad #PlumBodyLovin #plumgoodness #beach #love :cherry_blossom:,plumgoodness showergel sulphatefree toxinfree toxinfreeskincare
A happy evening walk to the paradise :sparkles:,
________________________________________________________ P.s who doesnt love walking in,
good weather :pleading_face: #fashion #lifestyle #ootd #outfitoftheday #blogger #instagram #igers,blogger brooklyn desiinfluencer fashion igers instagram lifestyle newyork newyorkblogger
#photooftheday #brooklyn #newyork #newyorkblogger #usa #desiInfluencer #theglamorouschic,ootd outfitoftheday photooftheday theglamorouschic usa
Just casually chilling like bosses :hundred_points:P.s: and giving you some major All black outfit,
Vibes:heavy_check_mark:Look breakdown:Me: jumpsuit @stalkbuylove Shoes: @coach Him: top to,
bottom: @ripndip Shoes: @coach __________________________________________#fashion,
#lifestyle #lifestyleblog #ootd #blackoutfit #outfitinspiration #photooftheday #couples #coupleshot,blackoutfit blogger brooklyn couples coupleshot fashion instagram lifestyle lifestyleblog
#blogger #instagram #stylist #newyork #brooklyn #outfitinspo #theglamorouschic #nyc #usa,newyork nyc ootd outfitinspiration outfitinspo photooftheday stylist theglamorouschic usa
"Just came across this amazing video by @greatlearningofficialAs a working mother and blogger, I",
"keep learning to achieve my goals.If you have dreams, start learning today because Jo Seekhta Hai,",
Wahi Aage Badhta hai. #PowerAhead,powerahead
Superrr excited to takeover @middayindia on 10th Sept at 6pm!! Anddd guess what were discussing--,
"my journey on @mominthebay, as well as #momlife and everything about parenting!! Im really",
"thankful for this, because during these boring times, this platform and you guys are the reason I have",
something exciting to look forward to sooo often! :smiling_face_with_3_hearts::purple_heart: So,
THANK YOU guys! :smiling_face_with_3_hearts::smiling_face_with_3_hearts::,
"smiling_face_with_3_hearts: #Gratitude #live #midday..Also totally loving my new hair, now when I",
look at this pic:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,
#knowwhatimean,gratitude knowwhatimean live midday..also momlife
Motherhood: All love begins and ends there.What you think guys :smiling_face_with_smiling_eyes:,
#KaramheePujahai,karamheepujahai
"#SoftestTouch #Cottontouch Hey Mommies, Do you remember the magical moment when you first",
got to touch your babys soft skin? Wasnt it the #SoftestTouch you ever experienced? That feeling just,
"cant be described in words!! Of all the things I have touched before, the best and softest touch by far",
"is of my baby:smiling_face_with_3_hearts: Moms, share your #SoftestTouch experience, and tell us",
how did you feel when you touched your babys soft skin! #SoftestTouch #Choosegentle,
#Cottontouch,choosegentle cottontouch softesttouch
"Hello friends , I recently tried Manna - No.1 Multigrain new Health drink in the market and was very",
"impressed. It is full of nutrition , palatable taste and very little sugar which fulfills my requirements. In",
"one sentence I can say its a truly Indian health drink, made of ancient Indian grains.It has real",
nutrition :smiling_face_with_smiling_eyes:Manna Go Grains contains 7 grains. It has the goodness of,
"Millets like Bajra, Ragi & Jowar. Cereals and pulses like Bengal gram , barley and wheat. It makes it",
"one of the most unique drinks in the market today.It is the best Instant Drink - Scoop, Sip, Stir. Add",
"two heaped teaspoons to warm milk and serve.- Yummy , choclaty flavour.It also Contains 7 Immunity",
"builders like Zinc, Vitamin C, A &E, Copper. One glass provides 33% of Daily Requirement for your",
child. What are you waiting then.. try out and tell me in comment section .. What kind of drink u like .:,gograins growth gurgaonmoms healthdrink immunity kidsnutrition manna mannafoods
thumbs_up: @mannafoodsindia @mannafoodsofficial@gurgaonmomsAvailable at Amazo,momsurecan momsword:white_heavy_check_mark::white_h multigrain weightgain
Everything about a new born baby is so beautiful .. their smile .. their smell and most important their,
skin. Thanks @johnsonsbabyindia for reminding me all this .. further tagging @sumitakapoor14003,
@racdevradar @new_momintown @mumzcub @raising_2_munchkins to share your softest touch,
moment#SoftestTouch#CHOOSEgentle#cottontouch,choosegentle cottontouch softesttouch
Flowers are a proud assertion that a ray of beauty out values all the utilities in the world :hibiscus::,
rose:#Throwback #SelectCityWalk #SCW #Saket #Fiorella #FiorellaIndia ..#LoveForPosing #OOTD,
#MOTD #SelfMusing #Poser #InstaClicks #InstaLove #InstaPic #InstaShot #PosingIsFun,blogger bloggersofinstagram bloggerstyle fiorella fiorellaindia goodvibes ig igdaily
#BloggersOfInstagram #BloggerStyle #Blogger #GoodVibes #InstaHappy #InstaVibes #PicOfTheDay,instaclicks instahappy instalove instapic instashot instavibes lookoftheday loveforposing
#LookOfTheDay #IG #IGDaily,motd ootd picoftheday poser posingisfun saket scw selectcitywalk selfmusing throwback
Bright and beautiful (Of course the lights):winking_face::camera_with_flash:#Throwback,
#SelectCityWalk #SCW #Saket ..#LoveForPosing #OOTD #MOTD #SelfMusing #Poser #InstaClicks,blogger bloggersofinstagram bloggerstyle goodvibes ig igdaily instaclicks instahappy
#InstaLove #InstaPic #InstaShot #PosingIsFun #BloggersOfInstagram #BloggerStyle #Blogger,instalove instapic instashot instavibes lookoftheday loveforposing motd ootd picoftheday
#GoodVibes #InstaHappy #InstaVibes #PicOfTheDay #LookOfTheDay #IG #IGDaily,poser posingisfun saket scw selectcitywalk selfmusing throwback
Be calm and poised just like the sea and the mysterious night sky :star-struck::camera_with_flash:,
#MajorThrowback #GoaMemories ..#LoveForPosing #OOTD #MOTD #SelfMusing #Poser,blogger bloggersofinstagram bloggerstyle delhiblogger goamemories goodvibes ig igdaily
#InstaClicks #InstaLove #InstaPic #InstaShot #BloggersOfInstagram #BloggerStyle #Blogger,instaclicks instahappy instalove instapic instashot instavibes lookoftheday loveforposing
#DelhiBlogger #TravelPhotography #TravelDiaries #GoodVibes #InstaHappy #InstaVibes,majorthrowback motd ootd poser selfmusing traveldiaries travelphotography
#VideoOfTheDay #LookOfTheDay #IG #IGDaily,videooftheday
From hoodie weather to ice cream weather in less than a week! Mother Nature what are you upto? :,
cloud_with_rain::cold_face::hot_face::camera_with_flash: : @ridgefernandes#icecream #icecreams,bloggersofindia bloggersofinstagram bmiblog food fotd icecream icecreamlove
#icecreamlove #food #icecreamtime #icecreamlover #icecreamlovers #icelollies #love #fotd #motd,icecreamlover icecreamlovers icecreams icecreamtime icelollies igicecream
#pinklips #portraitphotography #portrait #pursuitofportraits #mumbaiportraits #bloggersofinstagram,indianmomblogger indianmombloggerstribe indianmommyblogger instaicecream love
#bloggersofindia #igicecream #instaicecream #stunning #bmiblog #momblogger #mommyblogger,momblogger mommyblogger motd mumbaiportraits pinklips portrait portraitphotography
#indianmomblogger #indianmommyblogger #indianmombloggerstribe,pursuitofportraits stunning
Keep watching... :winking_face: ....#fashion #fashionblogger #fashionstyle #instafashion #styleinspo,
#styleblogger #styleoftheday #stylesubmit #makeupartist #outfitinspiration #outfitoftheday #outfitstyle,athomewithhm cinemazara cosmostreetstyle desiinfluencer fashion fashionblogger
#streetstyle #streetstylefashion #streetstyleluxe #laparisiennestylee #minimalistcomfort,fashionstyle hm hmstudioss20 hmxme instafashion laparisiennestylee makeupartist
#athomewithhm #hmstudioss20 #theparisianchique #cinemazara #minimalstreetstyle,minimalistcomfort minimalstreetstyle ootdbloggers outfitinspiration outfitoftheday outfitstyle
#cosmostreetstyle #zarawoman #hm #hmxme #ootdbloggers #streetstyledelhi #DesiInfluencer,sakhikapur streetstyle streetstyledelhi streetstylefashion streetstyleluxe styleblogger
#sakhikapur,styleinspo styleoftheday stylesubmit theparisianchique zarawoman
It was a bow in my hair kinda day :ribbon::two_hearts:....#makeup #makeupartist #makeuptutorial,
#makeuplover #makeupjunkie #professionalmakeupartist #popxobeauty #missmalinibeauty,artistsoninstagram beautybloggers beautycommunity beautyroutine beautytipsandtricks
#farsalicare #artistsoninstagram #makeupbyme #hudabeauties #sephoragirls #nykaabeauty,desiinfluencer farsalicare hudabeauties makeup makeupartist makeupbyme
#beautyroutine #beautycommunity #beautytipsandtricks #beautybloggers #DesiInfluencer,makeupbysakhikapur makeupjunkie makeuplover makeuptutorial missmalinibeauty
#makeupbysakhikapur #sakhikapur,nykaabeauty popxobeauty professionalmakeupartist sakhikapur sephoragirls
Two things Ive been obsessed with : books and scents ....Im enjoying collecting coffee table books,
"and experiencing different scents these past few months, especially :two_hearts::two_hearts:..Also,",
Im vlogging this weekend and Im soooo excited :woman_dancing_medium-light_skin_tone::,
woman_dancing_medium-light_skin_tone:...#coffeetabledecor #coffeetablebooks #victoriabeckham,coffeetablebooks coffeetabledecor narciso narcisorodriguez sakhikapur victoriabeckham
#voguemagazine #vogue #vogueindia #narcisorodriguez #narciso #sakhikapur,vogue vogueindia voguemagazine
liquid lip kinda day :kiss_mark:....#makeup #makeupartist #makeuptutorial #makeuplover,
#makeupjunkie #professionalmakeupartist #popxobeauty #missmalinibeauty #farsalicare,artistsoninstagram beautybloggers beautycommunity beautyroutine beautytipsandtricks
#artistsoninstagram #makeupbyme #hudabeauties #sephoragirls #nykaabeauty #beautyroutine,desiinfluencer farsalicare hudabeauties makeup makeupartist makeupbyme
